name                                            ,model                                          ,mileage                                          ,engineSize                      ,price,picture                    
Volkswagen Caddy Maxi,Caddy Maxi,"49,000 miles",2.0L,"£25,187",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"149,451 miles",1.6L,"£3,500",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"92,410 miles",1.6L,"£8,495",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"161,005 miles",2.0L,"£5,750",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"57,000 miles",1.6L,"£9,500",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"91,300 miles",1.6L,"£7,995",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"77,000 miles",2.0L,"£15,900",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"116,000 miles",1.6L,"£9,990",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"180,071 miles",1.6L,"£6,000",pictureURL
Volkswagen Caddy Maxi,Caddy Maxi,"122,200 miles",1.6L,"£14,500",pictureURL
